text,YS_Class
"Test temp=1922.038889, YS=83.42641239, Solidus temperature=3693.60864, W=0.999952875850675, Nb=1.9786966481623816e-06, Hf=1.0299374906095606e-06, Mo=1.915930616976556e-06, Re=9.872536623161348e-07, Zr=2.0151883572185004e-06, Ta=1.0159474800086109e-06, Ti=3.840506877366464e-06, C=1.530543191232208e-05, Y=2.067732806096567e-06, Al=6.813308266029616e-06, Si=6.545496526638319e-06, V=3.6087186812108106e-06, Cr=0.0",0
"Test temp=2033.15, YS=64.12112688, Solidus temperature=3693.60864, W=0.999952875850675, Nb=1.9786966481623816e-06, Hf=1.0299374906095606e-06, Mo=1.915930616976556e-06, Re=9.872536623161348e-07, Zr=2.0151883572185004e-06, Ta=1.0159474800086109e-06, Ti=3.840506877366464e-06, C=1.530543191232208e-05, Y=2.067732806096567e-06, Al=6.813308266029616e-06, Si=6.545496526638319e-06, V=3.6087186812108106e-06, Cr=0.0",0
"Test temp=2033.15, YS=81.35798894, Solidus temperature=3693.60864, W=0.999952875850675, Nb=1.9786966481623816e-06, Hf=1.0299374906095606e-06, Mo=1.915930616976556e-06, Re=9.872536623161348e-07, Zr=2.0151883572185004e-06, Ta=1.0159474800086109e-06, Ti=3.840506877366464e-06, C=1.530543191232208e-05, Y=2.067732806096567e-06, Al=6.813308266029616e-06, Si=6.545496526638319e-06, V=3.6087186812108106e-06, Cr=0.0",0
"Test temp=2199.816667, YS=48.95268826, Solidus temperature=3693.60864, W=0.999952875850675, Nb=1.9786966481623816e-06, Hf=1.0299374906095606e-06, Mo=1.915930616976556e-06, Re=9.872536623161348e-07, Zr=2.0151883572185004e-06, Ta=1.0159474800086109e-06, Ti=3.840506877366464e-06, C=1.530543191232208e-05, Y=2.067732806096567e-06, Al=6.813308266029616e-06, Si=6.545496526638319e-06, V=3.6087186812108106e-06, Cr=0.0",0
"Test temp=2199.816667, YS=57.22638205, Solidus temperature=3693.60864, W=0.999952875850675, Nb=1.9786966481623816e-06, Hf=1.0299374906095606e-06, Mo=1.915930616976556e-06, Re=9.872536623161348e-07, Zr=2.0151883572185004e-06, Ta=1.0159474800086109e-06, Ti=3.840506877366464e-06, C=1.530543191232208e-05, Y=2.067732806096567e-06, Al=6.813308266029616e-06, Si=6.545496526638319e-06, V=3.6087186812108106e-06, Cr=0.0",0
"Test temp=2477.5944440000003, YS=53.77900964, Solidus temperature=3693.60864, W=0.999952875850675, Nb=1.9786966481623816e-06, Hf=1.0299374906095606e-06, Mo=1.915930616976556e-06, Re=9.872536623161348e-07, Zr=2.0151883572185004e-06, Ta=1.0159474800086109e-06, Ti=3.840506877366464e-06, C=1.530543191232208e-05, Y=2.067732806096567e-06, Al=6.813308266029616e-06, Si=6.545496526638319e-06, V=3.6087186812108106e-06, Cr=0.0",0
"Test temp=2477.5944440000003, YS=48.26321378, Solidus temperature=3693.60864, W=0.999952875850675, Nb=1.9786966481623816e-06, Hf=1.0299374906095606e-06, Mo=1.915930616976556e-06, Re=9.872536623161348e-07, Zr=2.0151883572185004e-06, Ta=1.0159474800086109e-06, Ti=3.840506877366464e-06, C=1.530543191232208e-05, Y=2.067732806096567e-06, Al=6.813308266029616e-06, Si=6.545496526638319e-06, V=3.6087186812108106e-06, Cr=0.0",0
"Test temp=2477.5944440000003, YS=52.40006067, Solidus temperature=3693.60864, W=0.999952875850675, Nb=1.9786966481623816e-06, Hf=1.0299374906095606e-06, Mo=1.915930616976556e-06, Re=9.872536623161348e-07, Zr=2.0151883572185004e-06, Ta=1.0159474800086109e-06, Ti=3.840506877366464e-06, C=1.530543191232208e-05, Y=2.067732806096567e-06, Al=6.813308266029616e-06, Si=6.545496526638319e-06, V=3.6087186812108106e-06, Cr=0.0",0
"Test temp=2755.372222, YS=31.7158262, Solidus temperature=3693.60864, W=0.999952875850675, Nb=1.9786966481623816e-06, Hf=1.0299374906095606e-06, Mo=1.915930616976556e-06, Re=9.872536623161348e-07, Zr=2.0151883572185004e-06, Ta=1.0159474800086109e-06, Ti=3.840506877366464e-06, C=1.530543191232208e-05, Y=2.067732806096567e-06, Al=6.813308266029616e-06, Si=6.545496526638319e-06, V=3.6087186812108106e-06, Cr=0.0",0
"Test temp=2755.372222, YS=33.78424964, Solidus temperature=3693.60864, W=0.999952875850675, Nb=1.9786966481623816e-06, Hf=1.0299374906095606e-06, Mo=1.915930616976556e-06, Re=9.872536623161348e-07, Zr=2.0151883572185004e-06, Ta=1.0159474800086109e-06, Ti=3.840506877366464e-06, C=1.530543191232208e-05, Y=2.067732806096567e-06, Al=6.813308266029616e-06, Si=6.545496526638319e-06, V=3.6087186812108106e-06, Cr=0.0",0
"Test temp=2755.372222, YS=42.74741792, Solidus temperature=3693.60864, W=0.999952875850675, Nb=1.9786966481623816e-06, Hf=1.0299374906095606e-06, Mo=1.915930616976556e-06, Re=9.872536623161348e-07, Zr=2.0151883572185004e-06, Ta=1.0159474800086109e-06, Ti=3.840506877366464e-06, C=1.530543191232208e-05, Y=2.067732806096567e-06, Al=6.813308266029616e-06, Si=6.545496526638319e-06, V=3.6087186812108106e-06, Cr=0.0",0
"Test temp=1088.7055556, YS=496.4216274, Solidus temperature=3693.60864, W=0.999952875850675, Nb=1.9786966481623816e-06, Hf=1.0299374906095606e-06, Mo=1.915930616976556e-06, Re=9.872536623161348e-07, Zr=2.0151883572185004e-06, Ta=1.0159474800086109e-06, Ti=3.840506877366464e-06, C=1.530543191232208e-05, Y=2.067732806096567e-06, Al=6.813308266029616e-06, Si=6.545496526638319e-06, V=3.6087186812108106e-06, Cr=0.0",1
"Test temp=1366.483333, YS=477.1163419, Solidus temperature=3693.60864, W=0.999952875850675, Nb=1.9786966481623816e-06, Hf=1.0299374906095606e-06, Mo=1.915930616976556e-06, Re=9.872536623161348e-07, Zr=2.0151883572185004e-06, Ta=1.0159474800086109e-06, Ti=3.840506877366464e-06, C=1.530543191232208e-05, Y=2.067732806096567e-06, Al=6.813308266029616e-06, Si=6.545496526638319e-06, V=3.6087186812108106e-06, Cr=0.0",1
"Test temp=1366.483333, YS=427.4741792, Solidus temperature=3693.60864, W=0.999952875850675, Nb=1.9786966481623816e-06, Hf=1.0299374906095606e-06, Mo=1.915930616976556e-06, Re=9.872536623161348e-07, Zr=2.0151883572185004e-06, Ta=1.0159474800086109e-06, Ti=3.840506877366464e-06, C=1.530543191232208e-05, Y=2.067732806096567e-06, Al=6.813308266029616e-06, Si=6.545496526638319e-06, V=3.6087186812108106e-06, Cr=0.0",1
"Test temp=1644.2611109999998, YS=315.0898385, Solidus temperature=3693.60864, W=0.999952875850675, Nb=1.9786966481623816e-06, Hf=1.0299374906095606e-06, Mo=1.915930616976556e-06, Re=9.872536623161348e-07, Zr=2.0151883572185004e-06, Ta=1.0159474800086109e-06, Ti=3.840506877366464e-06, C=1.530543191232208e-05, Y=2.067732806096567e-06, Al=6.813308266029616e-06, Si=6.545496526638319e-06, V=3.6087186812108106e-06, Cr=0.0",0
"Test temp=1783.15, YS=130.3106772, Solidus temperature=3693.60864, W=0.999952875850675, Nb=1.9786966481623816e-06, Hf=1.0299374906095606e-06, Mo=1.915930616976556e-06, Re=9.872536623161348e-07, Zr=2.0151883572185004e-06, Ta=1.0159474800086109e-06, Ti=3.840506877366464e-06, C=1.530543191232208e-05, Y=2.067732806096567e-06, Al=6.813308266029616e-06, Si=6.545496526638319e-06, V=3.6087186812108106e-06, Cr=0.0",0
"Test temp=1783.15, YS=213.7370896, Solidus temperature=3693.60864, W=0.999952875850675, Nb=1.9786966481623816e-06, Hf=1.0299374906095606e-06, Mo=1.915930616976556e-06, Re=9.872536623161348e-07, Zr=2.0151883572185004e-06, Ta=1.0159474800086109e-06, Ti=3.840506877366464e-06, C=1.530543191232208e-05, Y=2.067732806096567e-06, Al=6.813308266029616e-06, Si=6.545496526638319e-06, V=3.6087186812108106e-06, Cr=0.0",0
"Test temp=1922.038889, YS=74.46324412, Solidus temperature=3693.60864, W=0.999952875850675, Nb=1.9786966481623816e-06, Hf=1.0299374906095606e-06, Mo=1.915930616976556e-06, Re=9.872536623161348e-07, Zr=2.0151883572185004e-06, Ta=1.0159474800086109e-06, Ti=3.840506877366464e-06, C=1.530543191232208e-05, Y=2.067732806096567e-06, Al=6.813308266029616e-06, Si=6.545496526638319e-06, V=3.6087186812108106e-06, Cr=0.0",0
"Test temp=1922.038889, YS=67.56849929, Solidus temperature=3693.60864, W=0.999952875850675, Nb=1.9786966481623816e-06, Hf=1.0299374906095606e-06, Mo=1.915930616976556e-06, Re=9.872536623161348e-07, Zr=2.0151883572185004e-06, Ta=1.0159474800086109e-06, Ti=3.840506877366464e-06, C=1.530543191232208e-05, Y=2.067732806096567e-06, Al=6.813308266029616e-06, Si=6.545496526638319e-06, V=3.6087186812108106e-06, Cr=0.0",0
"Test temp=2033.15, YS=64.12112688, Solidus temperature=3693.60864, W=0.999952875850675, Nb=1.9786966481623816e-06, Hf=1.0299374906095606e-06, Mo=1.915930616976556e-06, Re=9.872536623161348e-07, Zr=2.0151883572185004e-06, Ta=1.0159474800086109e-06, Ti=3.840506877366464e-06, C=1.530543191232208e-05, Y=2.067732806096567e-06, Al=6.813308266029616e-06, Si=6.545496526638319e-06, V=3.6087186812108106e-06, Cr=0.0",0
"Test temp=2033.15, YS=52.40006067, Solidus temperature=3693.60864, W=0.999952875850675, Nb=1.9786966481623816e-06, Hf=1.0299374906095606e-06, Mo=1.915930616976556e-06, Re=9.872536623161348e-07, Zr=2.0151883572185004e-06, Ta=1.0159474800086109e-06, Ti=3.840506877366464e-06, C=1.530543191232208e-05, Y=2.067732806096567e-06, Al=6.813308266029616e-06, Si=6.545496526638319e-06, V=3.6087186812108106e-06, Cr=0.0",0
"Test temp=2199.816667, YS=63.43165239, Solidus temperature=3693.60864, W=0.999952875850675, Nb=1.9786966481623816e-06, Hf=1.0299374906095606e-06, Mo=1.915930616976556e-06, Re=9.872536623161348e-07, Zr=2.0151883572185004e-06, Ta=1.0159474800086109e-06, Ti=3.840506877366464e-06, C=1.530543191232208e-05, Y=2.067732806096567e-06, Al=6.813308266029616e-06, Si=6.545496526638319e-06, V=3.6087186812108106e-06, Cr=0.0",0
"Test temp=2199.816667, YS=58.60533102, Solidus temperature=3693.60864, W=0.999952875850675, Nb=1.9786966481623816e-06, Hf=1.0299374906095606e-06, Mo=1.915930616976556e-06, Re=9.872536623161348e-07, Zr=2.0151883572185004e-06, Ta=1.0159474800086109e-06, Ti=3.840506877366464e-06, C=1.530543191232208e-05, Y=2.067732806096567e-06, Al=6.813308266029616e-06, Si=6.545496526638319e-06, V=3.6087186812108106e-06, Cr=0.0",0
"Test temp=2477.5944440000003, YS=44.81584137, Solidus temperature=3693.60864, W=0.999952875850675, Nb=1.9786966481623816e-06, Hf=1.0299374906095606e-06, Mo=1.915930616976556e-06, Re=9.872536623161348e-07, Zr=2.0151883572185004e-06, Ta=1.0159474800086109e-06, Ti=3.840506877366464e-06, C=1.530543191232208e-05, Y=2.067732806096567e-06, Al=6.813308266029616e-06, Si=6.545496526638319e-06, V=3.6087186812108106e-06, Cr=0.0",0
"Test temp=2477.5944440000003, YS=42.74741792, Solidus temperature=3693.60864, W=0.999952875850675, Nb=1.9786966481623816e-06, Hf=1.0299374906095606e-06, Mo=1.915930616976556e-06, Re=9.872536623161348e-07, Zr=2.0151883572185004e-06, Ta=1.0159474800086109e-06, Ti=3.840506877366464e-06, C=1.530543191232208e-05, Y=2.067732806096567e-06, Al=6.813308266029616e-06, Si=6.545496526638319e-06, V=3.6087186812108106e-06, Cr=0.0",0
"Test temp=2755.372222, YS=28.95792827, Solidus temperature=3693.60864, W=0.999952875850675, Nb=1.9786966481623816e-06, Hf=1.0299374906095606e-06, Mo=1.915930616976556e-06, Re=9.872536623161348e-07, Zr=2.0151883572185004e-06, Ta=1.0159474800086109e-06, Ti=3.840506877366464e-06, C=1.530543191232208e-05, Y=2.067732806096567e-06, Al=6.813308266029616e-06, Si=6.545496526638319e-06, V=3.6087186812108106e-06, Cr=0.0",0
"Test temp=2755.372222, YS=35.85267309, Solidus temperature=3693.60864, W=0.999952875850675, Nb=1.9786966481623816e-06, Hf=1.0299374906095606e-06, Mo=1.915930616976556e-06, Re=9.872536623161348e-07, Zr=2.0151883572185004e-06, Ta=1.0159474800086109e-06, Ti=3.840506877366464e-06, C=1.530543191232208e-05, Y=2.067732806096567e-06, Al=6.813308266029616e-06, Si=6.545496526638319e-06, V=3.6087186812108106e-06, Cr=0.0",0
"Test temp=2755.372222, YS=28.95792827, Solidus temperature=3693.60864, W=0.999952875850675, Nb=1.9786966481623816e-06, Hf=1.0299374906095606e-06, Mo=1.915930616976556e-06, Re=9.872536623161348e-07, Zr=2.0151883572185004e-06, Ta=1.0159474800086109e-06, Ti=3.840506877366464e-06, C=1.530543191232208e-05, Y=2.067732806096567e-06, Al=6.813308266029616e-06, Si=6.545496526638319e-06, V=3.6087186812108106e-06, Cr=0.0",0
"Test temp=2199.816667, YS=49.64216274, Solidus temperature=3670.98221, W=0.99785399433183, Nb=1.9785757884635085e-06, Hf=0.002099914271791, Mo=1.915813591055657e-06, Re=9.871933604095998e-07, Zr=2.0150652685893e-06, Ta=1.0158854254705296e-06, Ti=3.840272297444802e-06, C=1.5304497049520467e-05, Y=2.067606508028328e-06, Al=6.812892106035549e-06, Si=6.545096724708135e-06, V=3.6084982590184886e-06, Cr=0.0",0
"Test temp=2477.5944440000003, YS=39.30004551, Solidus temperature=3670.98221, W=0.99785399433183, Nb=1.9785757884635085e-06, Hf=0.002099914271791, Mo=1.915813591055657e-06, Re=9.871933604095998e-07, Zr=2.0150652685893e-06, Ta=1.0158854254705296e-06, Ti=3.840272297444802e-06, C=1.5304497049520467e-05, Y=2.067606508028328e-06, Al=6.812892106035549e-06, Si=6.545096724708135e-06, V=3.6084982590184886e-06, Cr=0.0",0
"Test temp=1644.2611109999998, YS=142.0317434, Solidus temperature=3670.98221, W=0.99785399433183, Nb=1.9785757884635085e-06, Hf=0.002099914271791, Mo=1.915813591055657e-06, Re=9.871933604095998e-07, Zr=2.0150652685893e-06, Ta=1.0158854254705296e-06, Ti=3.840272297444802e-06, C=1.5304497049520467e-05, Y=2.067606508028328e-06, Al=6.812892106035549e-06, Si=6.545096724708135e-06, V=3.6084982590184886e-06, Cr=0.0",0
"Test temp=2199.816667, YS=50.95216426, Solidus temperature=3670.98221, W=0.99785399433183, Nb=1.9785757884635085e-06, Hf=0.002099914271791, Mo=1.915813591055657e-06, Re=9.871933604095998e-07, Zr=2.0150652685893e-06, Ta=1.0158854254705296e-06, Ti=3.840272297444802e-06, C=1.5304497049520467e-05, Y=2.067606508028328e-06, Al=6.812892106035549e-06, Si=6.545096724708135e-06, V=3.6084982590184886e-06, Cr=0.0",0
"Test temp=1644.2611109999998, YS=552.2690605, Solidus temperature=3609.71237, W=0.9919541947065392, Nb=1.9782360608515785e-06, Hf=0.0079997218111178, Mo=1.915484639908076e-06, Re=9.870238562416013e-07, Zr=2.01471927562023e-06, Ta=1.0157109947857905e-06, Ti=3.839612910756468e-06, C=1.530186921981349e-05, Y=2.067251493565157e-06, Al=6.811722311287722e-06, Si=6.543972911259541e-06, V=3.607878668652864e-06, Cr=0.0",1
"Test temp=1922.038889, YS=409.5478426, Solidus temperature=3609.71237, W=0.9919541947065392, Nb=1.9782360608515785e-06, Hf=0.0079997218111178, Mo=1.915484639908076e-06, Re=9.870238562416013e-07, Zr=2.01471927562023e-06, Ta=1.0157109947857905e-06, Ti=3.839612910756468e-06, C=1.530186921981349e-05, Y=2.067251493565157e-06, Al=6.811722311287722e-06, Si=6.543972911259541e-06, V=3.607878668652864e-06, Cr=0.0",1
"Test temp=2199.816667, YS=97.21590204, Solidus temperature=3609.71237, W=0.9919541947065392, Nb=1.9782360608515785e-06, Hf=0.0079997218111178, Mo=1.915484639908076e-06, Re=9.870238562416013e-07, Zr=2.01471927562023e-06, Ta=1.0157109947857905e-06, Ti=3.839612910756468e-06, C=1.530186921981349e-05, Y=2.067251493565157e-06, Al=6.811722311287722e-06, Si=6.543972911259541e-06, V=3.607878668652864e-06, Cr=0.0",0
"Test temp=2477.5944440000003, YS=66.18955032, Solidus temperature=3609.71237, W=0.9919541947065392, Nb=1.9782360608515785e-06, Hf=0.0079997218111178, Mo=1.915484639908076e-06, Re=9.870238562416013e-07, Zr=2.01471927562023e-06, Ta=1.0157109947857905e-06, Ti=3.839612910756468e-06, C=1.530186921981349e-05, Y=2.067251493565157e-06, Al=6.811722311287722e-06, Si=6.543972911259541e-06, V=3.607878668652864e-06, Cr=0.0",0
"Test temp=1644.2611109999998, YS=131.0001517, Solidus temperature=3609.71237, W=0.9919541947065392, Nb=1.9782360608515785e-06, Hf=0.0079997218111178, Mo=1.915484639908076e-06, Re=9.870238562416013e-07, Zr=2.01471927562023e-06, Ta=1.0157109947857905e-06, Ti=3.839612910756468e-06, C=1.530186921981349e-05, Y=2.067251493565157e-06, Al=6.811722311287722e-06, Si=6.543972911259541e-06, V=3.607878668652864e-06, Cr=0.0",0
"Test temp=1922.038889, YS=127.5527793, Solidus temperature=3609.71237, W=0.9919541947065392, Nb=1.9782360608515785e-06, Hf=0.0079997218111178, Mo=1.915484639908076e-06, Re=9.870238562416013e-07, Zr=2.01471927562023e-06, Ta=1.0157109947857905e-06, Ti=3.839612910756468e-06, C=1.530186921981349e-05, Y=2.067251493565157e-06, Al=6.811722311287722e-06, Si=6.543972911259541e-06, V=3.607878668652864e-06, Cr=0.0",0
"Test temp=2199.816667, YS=85.49483584, Solidus temperature=3609.71237, W=0.9919541947065392, Nb=1.9782360608515785e-06, Hf=0.0079997218111178, Mo=1.915484639908076e-06, Re=9.870238562416013e-07, Zr=2.01471927562023e-06, Ta=1.0157109947857905e-06, Ti=3.839612910756468e-06, C=1.530186921981349e-05, Y=2.067251493565157e-06, Al=6.811722311287722e-06, Si=6.543972911259541e-06, V=3.607878668652864e-06, Cr=0.0",0
"Test temp=1922.038889, YS=346.8056647, Solidus temperature=3522.13317, W=0.9829545721506616, Nb=1.977717836424756e-06, Hf=0.0169993564391575, Mo=1.914982854024556e-06, Re=9.867652926241018e-07, Zr=2.0141914939451914e-06, Ta=1.0154449162026996e-06, Ti=3.838607074678926e-06, C=1.529786069799818e-05, Y=2.0667099503987208e-06, Al=6.809937892855411e-06, Si=6.542258633232669e-06, V=3.6069335383460655e-06, Cr=0.0",0
"Test temp=2477.5944440000003, YS=91.0106317, Solidus temperature=3522.13317, W=0.9829545721506616, Nb=1.977717836424756e-06, Hf=0.0169993564391575, Mo=1.914982854024556e-06, Re=9.867652926241018e-07, Zr=2.0141914939451914e-06, Ta=1.0154449162026996e-06, Ti=3.838607074678926e-06, C=1.529786069799818e-05, Y=2.0667099503987208e-06, Al=6.809937892855411e-06, Si=6.542258633232669e-06, V=3.6069335383460655e-06, Cr=0.0",0
"Test temp=1644.2611109999998, YS=225.4581558, Solidus temperature=3522.13317, W=0.9829545721506616, Nb=1.977717836424756e-06, Hf=0.0169993564391575, Mo=1.914982854024556e-06, Re=9.867652926241018e-07, Zr=2.0141914939451914e-06, Ta=1.0154449162026996e-06, Ti=3.838607074678926e-06, C=1.529786069799818e-05, Y=2.0667099503987208e-06, Al=6.809937892855411e-06, Si=6.542258633232669e-06, V=3.6069335383460655e-06, Cr=0.0",0
"Test temp=1922.038889, YS=174.4370441, Solidus temperature=3522.13317, W=0.9829545721506616, Nb=1.977717836424756e-06, Hf=0.0169993564391575, Mo=1.914982854024556e-06, Re=9.867652926241018e-07, Zr=2.0141914939451914e-06, Ta=1.0154449162026996e-06, Ti=3.838607074678926e-06, C=1.529786069799818e-05, Y=2.0667099503987208e-06, Al=6.809937892855411e-06, Si=6.542258633232669e-06, V=3.6069335383460655e-06, Cr=0.0",0
"Test temp=2199.816667, YS=142.0317434, Solidus temperature=3522.13317, W=0.9829545721506616, Nb=1.977717836424756e-06, Hf=0.0169993564391575, Mo=1.914982854024556e-06, Re=9.867652926241018e-07, Zr=2.0141914939451914e-06, Ta=1.0154449162026996e-06, Ti=3.838607074678926e-06, C=1.529786069799818e-05, Y=2.0667099503987208e-06, Al=6.809937892855411e-06, Si=6.542258633232669e-06, V=3.6069335383460655e-06, Cr=0.0",0
"Test temp=1922.038889, YS=304.7477213, Solidus temperature=3657.64585, W=0.9647555594202156, Nb=1.979038690907112e-06, Hf=1.030115528332784e-06, Mo=1.9162618098188497e-06, Re=0.0253995158245095, Zr=2.015536708016735e-06, Ta=0.0097997960073653, Ti=3.841170757559877e-06, C=1.5308077649830877e-05, Y=2.06809023986744e-06, Al=6.814486032546869e-06, Si=6.54662799850879e-06, V=3.609342493882565e-06, Cr=0.0",0
"Test temp=2199.816667, YS=105.4895958, Solidus temperature=3657.64585, W=0.9647555594202156, Nb=1.979038690907112e-06, Hf=1.030115528332784e-06, Mo=1.9162618098188497e-06, Re=0.0253995158245095, Zr=2.015536708016735e-06, Ta=0.0097997960073653, Ti=3.841170757559877e-06, C=1.5308077649830877e-05, Y=2.06809023986744e-06, Al=6.814486032546869e-06, Si=6.54662799850879e-06, V=3.609342493882565e-06, Cr=0.0",0
"Test temp=2477.5944440000003, YS=50.33163723, Solidus temperature=3657.64585, W=0.9647555594202156, Nb=1.979038690907112e-06, Hf=1.030115528332784e-06, Mo=1.9162618098188497e-06, Re=0.0253995158245095, Zr=2.015536708016735e-06, Ta=0.0097997960073653, Ti=3.841170757559877e-06, C=1.5308077649830877e-05, Y=2.06809023986744e-06, Al=6.814486032546869e-06, Si=6.54662799850879e-06, V=3.609342493882565e-06, Cr=0.0",0
